;ID;positveSentimentScore;negativeSentimentScore;sentimentScore;text
1;8.18E+22;5;-1;1;Zwei linke Polizisten verteidigen Grundrechte in Debatte zur Videoüberwachung. Sehr schön :-) @BuettnerAndreas 
2;8.20E+22;5;-1;;Sehr schön! Auch wenn die Reaktionen von CDU und SPD bezeichnend sind. Dennoch ist die Forderung richtig! 
3;8.23E+22;5;-1;;Read very carefully / Sehr sorgfältig lesen!: #USA #Trump #Obama 
4;8.23E+22;5;-1;1;Sehr schön! 
5;8.24E+22;5;-1;;@Wensierski Dieses Prinzenpaar hat bei der Bundeskanzlerin #NRW repräsentiert. Wir in #Ratingen sind sehr stolz auf #Samuel und #Jacinta!
6;8.30E+22;5;-1;;@stadtpunkte @tagesspiegel da reicht nicht Mobilisierung (schon geschehen) der Stadtgesellschaft - her mit Klagefonds für die MieterInnen!
7;8.31E+22;5;-1;1;@Sabine_Baetzing Alles Gute zum Geburtstag <f0><U+009F><U+0092><U+0090>! Viel Gesundheit und Freude für Dein neues Lebensjahr- und viele leckere Tassen <U+2615><U+FE0F>! <f0><U+009F><U+0098><U+008A>
8;8.34E+22;5;-1;;Wir sind in Kürze alle in #Essen+lassen uns bitte die leckeren Burger von Nicholas Smith nicht entgehen! #AfD #Trump 
9;8.35E+22;5;-1;1;@euklid_csgo @cem_oezdemir sehr sehr lecker!
10;8.37E+22;5;-1;;Ein anderer Blick auf und in der Bonner Oper beim kulturpolitischen Aschermittwoch in #bonn - sehr schön! 
11;8.38E+22;5;-1;1;@wolf_depken Sehr positiv! #Mobilität für Stadt und Land ist absolutes Schlüsselthema für enkeltaugliche Entwicklung des Landes
12;8.39E+22;5;-1;;Männer und Frauen von Nordrhein-Westfalen,ihr müßt jetzt sehr tapfer sein! 
13;8.39E+22;5;-1;1;Kochende Männer im Büro - ein Wert für sich. Mittagsstärkung für das Wahlprogramm! Und super lecker! 
14;8.39E+22;5;-1;;Besonders schön: die Grüne Bezirksausschussvorsitzende @anuka76 begrüßt die vielen Gäste &amp
15;8.39E+22;5;-1;;Schon geschehen! 
16;8.42E+21;5;-1;;@AliCologne besonders witzig da Tulpe aus dem türkischen 'tülbend' kommt &amp
17;8.43E+20;5;-1;1;Sehr schön! 
18;8.43E+22;5;-1;;@D_Stich *Jedi. Gern geschehen!
19;8.44E+22;5;-1;1;Über 200.000 Stimmen für Weiterbetrieb von #Tegel - unser Volksbegehren war extrem erfolgreich!#AfD
20;8.45E+22;5;-1;1;Tolle inhabergeführte Läden in #Saarbrücken heute besucht: innovativ und nachhaltig, z.B. die Veganeria. Lecker!! 
21;8.45E+22;5;-1;1;@TomSchreiberMdA @MaPhiMoTo @LinksfraktionB @nikschrader haha :) sehr freundlich! Danke dafür
22;8.47E+21;5;-1;;Extrem super Pitches beim #1stBMVIPitch. Wow! Kompliment! 
23;8.47E+22;5;-1;;Gesund &amp
24;8.48E+22;5;-1;1;Den Dank gebe ich gerne zurück! War ein wirklich sehr angenehmes Gespräch! Gutes Format! 
25;8.49E+22;5;-1;;Danke und gern geschehen! 
26;8.50E+22;5;-1;;Der #Spargel schmeckt auch dieses Jahr wieder lecker!! 
27;8.50E+22;5;-1;;#Spargel ist da! Ist ja klar, was am #Wochenende auf den Tisch kommt  - lecker! #Ernährung 
28;8.52E+22;5;-1;;Kinderabteile in der Bahn sind wirklich super!
29;8.53E+21;5;-1;;Die roten Ostereier von der @spdde sind in #Ratingen sehr beliebt! 
30;8.54E+22;5;-1;;Sehr stolz auf die beste Mannschaft der Welt! Wünsche mir für morgen eine FC Bayern Geburtstagstorte <U+2764><U+FE0F>
31;8.58E+22;5;-1;;Was die #Piraten in #NRW so alles erreicht haben und wie die anderen Fraktionen abgestimmt haben. Suuuper Seite!
32;8.58E+22;5;-1;1;1200 Jahre Ecknach- ein wunderschöner Gottesdienst..und jetzt spielen Tom und Floh... grossartig!
33;8.60E+22;5;-1;;Vielen Dank! Man sollte nur versprechen, was man auch halten kann. Das ist ehrlich. So geschehen! #WirMachenDas 
34;8.61E+22;5;-1;1;#OdeandieFreude - grossartig! #Macron tritt mit #Europahymne vor Wähler*innen. Klarer lässt sich Statement kaum setzen 
35;8.62E+22;5;-1;;Leckere Homestory über grünen Tausendsassa Karsten @mitglied92! Und ich kann den wählen <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>#ltwnrw17 #teamkrefeld 
36;8.63E+21;5;-1;;Heute einen sehr sympathischen Auftritt von @DietmarBartsch in der Uni erlebt! :) #Mainz 
37;8.63E+22;5;-1;;Wir wollen eine Landwirtschaft, die leckere &amp
