;ID;positveSentimentScore;negativeSentimentScore;sentimentScore;text
38;8.64E+22;5;-1;;Stelle fest, dass ich beim #esc2017 richtig lag... Heute hab ich auch ein sehr positives Gefühl! <ed><U+00A0><U+00BD><ed><U+00B8><U+0087> #LinkeNRWwählen 
39;8.64E+22;5;-1;;Noch ist Zeit zum Wählen! Jetzt wählen gehen, wenn nicht schon längst geschehen! Und beide Stimmen für die SPD! 
40;8.64E+22;5;-1;1;Respekt, liebe @HanneloreKraft ! @spdde @spdbt
41;8.65E+22;5;-1;1;Sehr erfreut! #CEWE aus #Oldenburg gewinnt @BAUMpreis i.d. Kategorie KMU. Herzlichen Glückwunsch! 
42;8.66E+22;5;-1;1;@KonstantinNotz stimmt, #heuteshow war wieder klasse und Mandy Hausten echt super!
43;8.68E+22;5;-1;;Samstags gibt es einen leckeren Cappuccino der Kids aus der Gartenküche ! Schönen Samstag! 
44;8.73E+22;5;-1;;Gerade mal wieder im #Prellbock in #GroßMützenau - Essen sehr lecker, Humor köstlich. #Lunzenau @peter_jahr
45;8.73E+22;5;-1;;Hier gibt es lecker Wein aus dem Rheingau und der Bergstraße! #hessentag2017 
46;8.74E+22;5;-1;1;Vom Präsidium kann ich Euch sagen: Die Stimmung ist wirklich super, macht weiter so! #ldknds.
47;8.74E+21;5;-1;;Ich muss gerade sehr lachen! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>(Schulligung! Geht gleich wieder.) 
48;8.76E+22;5;-1;;Die engliche (sic!) Erfahrung und der Fachismus (sic!) ... klingt nach nem suuuper Buchtitel und ner geilen Verfilmung!#Bundesausschuss
49;8.76E+22;5;-1;;Beim Langen Tag der Stadtnatur 2017 bin ich heute beim Märkischen Landbrot dabei. Lecker!!! 
50;8.76E+22;5;-1;1;Und wir sind sehr stolz auf so eine fleißige und fähige Bundestagskandidatin! #btw17 #spd 
51;8.79E+22;5;-1;1;Doro Schäfer gewinnt Landratswahl in Mainz-Bingen. Suuuuper!! Glückwunsch!!! Super-Wahlsonntag für die @cdurlp
52;8.79E+22;5;-1;;Doro Schäfer gewinnt Landratswahl in Mainz-Bingen. Suuuuper!! Glückwunsch!!! Super-Wahlsonntag für die @cdurlp
53;8.79E+22;5;-1;1;Unser Bruder ist jetzt Doktor! Dr. - Ing. wir sind super stolz auf Dich! 
54;8.81E+21;5;-1;;@Volker_Beck @Bundestag @lsvd @Die_Gruenen @cducsubt Und wo immer Jacques heute sein mag, er ist unglaublich stolz auf dich!
55;8.81E+22;5;-1;1;Schöne Zusammenfassung einer Plenardebatte mit einem sehr erfreulichen Ergebnis! #EheFürAlle <ed><U+00A0><U+00BC><ed><U+00BF><U+00B3><U+FE0F><U+200D><ed><U+00A0><U+00BC><ed><U+00BC><U+0088> @SZ 
56;8.81E+22;5;-1;1;Deutschland ist U21-Fussballeuropameister! Toller Endspurt Jungs, wer zuletzt lacht, lacht am besten! #U21EURO #AfD
57;8.83E+22;5;-1;;Mit Irene Alt zu Besuch bei der ganz besonderen Bäckerei Förster in Hahnheim. Brot aus dem Holzofen: sehr lecker! 
58;8.84E+22;5;-1;;beim #SPD OV #Jestetten: Gute Stimmung und Meistertorte - super lecker mit <ed><U+00A0><U+00BC><ed><U+00BD><U+0093><ed><U+00A0><U+00BC><ed><U+00BD><U+0093><ed><U+00A0><U+00BC><ed><U+00BD><U+0093>- so macht Wahlkampf Spass! 
59;8.84E+22;5;-1;;Rotarier-Bürgerfest - tolle Stimmung! Viele Gäste! Und lecker Essen! Und demnächst klappt's auch mit dem Tore... 
60;8.86E+22;5;-1;;Service-Tweet für Menschen, die keine @Bild-Eilmeldungen abonniert haben. (Gern geschehen!) 
61;8.86E+22;5;-1;;Weniger Steuern für Bürger, mehr Ausgaben für Schulen, Kitas, Kommunen, Straßen, will noch wer? - hach <f0><U+009F><U+0098><U+0087>Schwarze Ampel: Paradies im Norden!
62;8.89E+22;5;-1;;Gern geschehen :) 
63;8.90E+22;5;-1;;Freue mich schon auf die Eröffnungsfeier morgen. Lecker wird es bestimmt! <ed><U+00A0><U+00BD><ed><U+00B8><U+008B> 
64;8.92E+21;5;-1;;Gern geschehen - ich war für die Petition Berichterstatter und wir haben dies einstimmig im Ausschuss beschlossen! 
65;8.94E+22;5;-1;;Gemüse auf den Grill - Das bessere Fleisch - Stil - Süddeutsche.de sooooo lecker! 
66;8.94E+22;5;-1;;Mittags beim Heidelbeer-Fest in #Wildenspring. Lecker! #Thüringen 
67;8.95E+22;5;-1;1;Ein sehr sympathischer Verein! 
68;8.96E+22;5;-1;;Gute Stimmung beim Grillfest der #SPD Herdorf und lecker rote Würstchen! 
69;9.00E+22;5;-1;1;Das ist echt fantastisch! Ein paar Wischer oder Klicks und die App zeigt Dir, was genau für Dich aus dem... 
70;9.01E+22;5;-1;;@iia_i Kartoffelsuppe und zwar gaaaaaanz lecker!
71;9.02E+22;5;-1;1;Sehr sympathisch ! Genau so und am liebsten ohne alles, was dem freien Kopf i d Quere kommten könnte. 
72;9.03E+21;5;-1;;Morgen beginnt wieder die Schule. Autofahrer sollten dann besonders vorsichtig unterwegs sein!  
73;9.03E+22;5;-1;;Jamel rockt den Förster. #KRAFTKLUB hat am Freitag den Schrei nach Liebe gespielt. Es war:GROSSARTIG!
74;9.05E+22;5;-1;;Lieber lecker und kräftige heiße Suppe, als labbrigen Einheitsbrei! Meine WahlEmpfehlung: 
75;9.07E+21;5;-1;;Leckerer Abschluss und Stärkung von den WanderInnen im Eis Cafe Center Herdorf! #SabineBewegt 
76;9.07E+22;5;-1;;Frühverteilung bei der Frankfurter Entsorgung und Service GmbH - es gibt leckere Cookies! 
77;9.08E+22;5;-1;1;Sehr inspirierende Präsentation! Vielen Dank, @NickBoesl! 
78;9.09E+20;5;-1;;@soerenbartol Auch lecker! Unsere Käsebrötchen waren von der Biobäckerei Brot und Korn in Bad Hersfeld
79;9.09E+22;5;-1;;Mit diesem romantischen Ausblick vom #Neroberg über #Wiesbaden wünschen wir Euch ein schönes #Wochenende! 
80;9.11E+22;5;-1;1;Sehr wunderbarer Text! 
81;9.12E+22;5;-1;;@Antje_Kapek ah ja, da ist man ja in Berlin auch extrem erfolgreich mit r2g
82;9.13E+22;5;-1;1;@ebner_sha @GruenMeyer @FOstendorff @RenateKuenast Ja, sehr erfreulich :-)
83;9.13E+22;5;-1;;Ich bin sehr erfreut ! #1000Grüne 
84;9.13E+22;5;-1;;Der Sommer #Honig der #Bundestagsbienen ist in diesem Jahr besonders lecker! <ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BD><ed><U+00B0><U+009D> 
85;9.14E+22;5;-1;;Lecker war's! #piazzaitalia #Neuruppin #pizza <f0><U+009F><U+008D><U+0095><f0><U+009F><U+008D><U+0095><f0><U+009F><U+008D><U+0095>
86;9.16E+22;5;-1;;Hier noch was für die ältere Generation - das wird garantiert richtig lecker!  #Huckelriede #MarieWeser 
87;9.18E+22;5;-1;;Grossartig! Tippe mal, dass die Isländer den Weltmeistertitel für die kreativsten Fans holen <ed><U+00A0><U+00BD><ed><U+00B8><U+0080> #island #WorldCup2018 
88;9.21E+22;5;-1;;Leckerer Appetizer von Thomas Jansen: Lies den Lukas!<ed><U+00A0><U+00BD><ed><U+00B1><U+008F> 
89;8.40E+22;5;-2;1;Ich lese das alles so verdammt gern! #Wendt #HohesRoss #Moral 
90;8.77E+22;5;-2;;Was für eine Schweinerei! Der CSD Oldenburg gilt schon immer als ein kleiner, aber feiner und sehr beliebter CSD! :-( 
91;8.81E+22;5;-2;1;Bin verdammt stolz auf @AKammeyer. Der Kampf in #Hamburg für die #Ehefüralle hat sich endlich gelohnt. <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009C> 
92;8.78E+22;5;-3;1;Dickes Lob an die Zugbegleiter in diesem besonderen Zug aus Hannover nach Hamburg. Sorgen sich wirklich super um die Fahrgäste, @DB_Bahn!
93;9.02E+22;5;-3;;Merkel erpresst ÖR-Sender, schlimmer noch: diese lassen es geschehen!
94;9.05E+22;5;-3;;ZDF hat das mit dem Leute-dürfen-streiten besser hingekriegt als die extrem vorsichtige ARD. #5kampf #schlagabtausch #btw17
95;9.13E+22;5;-3;;Aufm Weg zur Bochumer Eisdiele Kugelpudel. Lecker! Aber das Thema ist ernst: Wir diskutieren heute über Rassismus. Debatte ist notwendig.
96;9.13E+22;5;-3;;Aufm Weg zur Bochumer Eisdiele Kugelpudel. Lecker! Aber das Thema ist ernst: Wir diskutieren heute über Rassismus. Debatte ist notwendig.
97;9.14E+22;5;-3;;Das () muss Anlass sein die Kategorie islamfeindliche Straftaten bei Justiz einzuführen, wie bei Polizei geschehen!
98;9.14E+22;5;-3;;Das () muss Anlass sein die Kategorie islamfeindliche Straftaten bei Justiz einzuführen, wie bei Polizei geschehen!
99;8.76E+22;5;-4;;Leckere Mittagspause beim @WWF_Deutschland-Foodtruck! Leider war der Panda nicht da <ed><U+00A0><U+00BD><ed><U+00B9><U+0081> 
100;8.15E+21;4;-1;1;#Willkommen2017. Wir wünschen Ihnen ein gesundes und erfolgreiches neues Jahr! Alles Gute!
101;8.16E+22;4;-1;;#Neujahrskonzert -schön, dass es noch Konstanten gibt - Polka -'so ängstlich sind wir nicht' - gutes Motto und sehr passend! #Prositneujahr
102;8.16E+22;4;-1;;Schöne Silvesterlektüre! Der großartige Wolfgang Röhl über postfaktisch und Filterblase, Sieger im... 
103;8.16E+21;4;-1;;Danke für ein wunderbares Jahr 2016!  als Radikal-Demokrat stehe für eine Hardcore-Opposition der #AfD im @LandtagBW
104;8.16E+22;4;-1;1;Mein erster Tag beim @tagesspiegel yeah! Danke an @ichgruessesie für die freundliche Begrüßung! Und jetzt: los geht's. 
105;8.16E+22;4;-1;;Die Überschrift ist einfach zu schön! Unsere Grünen halt. #grüfri vs. #nafri 
106;8.16E+22;4;-1;;Ein kleines Wunder ist geschehen das durch die Medien völlig ignoriert wurde: tausende Frauen, hebrews,... 
107;8.17E+22;4;-1;;@drumheadberlin @BILD - das ist übrigens schon eine erstaunliche Entwicklung!
108;8.17E+22;4;-1;1;Stolz! Das neue Jahr ist auch das Jahr der #GHE2017 #Essen. Guter Artikel dazu @ZDFheute  #EGC2017 @GreenCapital17
109;8.17E+21;4;-1;1;@CSU @phoenix_de das war sehr souverän - @AndiScheuer volle Unterstützung! Lasst uns abstimmen!
110;8.17E+22;4;-1;1;@abdo_tammaa das ist total schön!
111;8.17E+22;4;-1;;#Sturmflut fasziniert viele, aber für die Betroffenen ist sie oft ein grosses Problem. Respekt den  HelferInnen und Einsatzkräften!
112;8.17E+22;4;-1;;Danke, liebe Sternsinger <U+2B50><U+FE0F> für Eueren Besuch auch in diesem Jahr! 
113;8.17E+22;4;-1;;Wir wünschen ein frostig-schönes #Wochenende! Wie wäre es mit einem Winterspaziergang?(Bild ) 
114;8.18E+22;4;-1;1;Lieber @DerSPIEGEL, wir gratulieren zum 70. Schön, dass es Dich gibt! #DerSpiegel #70JahreSpiegel 
115;8.18E+22;4;-1;1;@DWoehrl find ich super! :-)
116;8.18E+22;4;-1;1;@DWoehrl wow! Spannend! Dann schalte ich doch gerne wieder ein!
117;8.18E+22;4;-1;1;Kam im stream sehr gut rüber! Demokratie lebt vom Mitmachen #Urwahl #grüne @MiKellner @Die_Gruenen 
118;8.18E+22;4;-1;;Bitte fahrt/lauft vorsichtig! So glatt wie derzeit in #Essen habe ich es zuletzt auf der Eislaufbahn erlebt. #Glatteis #Blitzeis #Vorsicht
119;8.18E+22;4;-1;;Letzte Abstimmungen zwischen @UweSchummer und @ChrisPakusch auf unserem heutigen NJE. Schön war es! 
120;8.18E+22;4;-1;;Tja, Grund genug, etwas fröhlich zu sein! Gute Arbeit zahlt sich aus. 
121;8.18E+22;4;-1;;Das war #Seeon17. Herzlichen Dank für eine tolle Klausurtagung. Wir Ihnen jetzt ein schönes #Wochenende! 
122;8.18E+22;4;-1;;Ich freue mich auf die Veranstaltung mit meiner lieben Kollegin Cansel Kiziltepe! 
123;8.19E+22;4;-1;;Sehr schön. Die ersten Anträge auf Bleiberecht für Opfer rechter Gewalt sind in Bearbeitung! #Brandenburg 
124;8.19E+22;4;-1;;Jetzt mitmachen:Wir veröffentlichen das schönste Bild einer echten #Grenzkontrolle auf der FB-Seite der #AfD!<U+27A1><U+FE0F> 
125;8.19E+21;4;-1;;Der letzte #Bundespräsident von Format ist von uns gegangen. Ruhe in Frieden #RomanHerzog - möge sich #Steinmeier ein Beispiel nehmen!
126;8.19E+22;4;-1;;Geht doch liebe #SPD, warum nicht gleich so! Pläne von de #Maizière und #Maas: Härtere Gangart gegen #Gefährder 
127;8.19E+22;4;-1;1;Danke, liebe Abteilung 16, für Glücksschwein und einstimmige Nominierung! 
128;8.19E+22;4;-1;;Das muten wir in einer Demokratie doch sehr gern zu <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>! 
129;8.19E+22;4;-1;;Wir sind stolz auf unsere Bamberger Gärtner!Heute hat mein Kollege Kulturminister Ludwig Spaenle im Gärtner- und... 
130;8.19E+22;4;-1;;Bestes Team d Welt, schönster Ortsverband, einstimmig zum Vorsitzenden gewählt. Alle so: Lächeln! 
131;8.19E+22;4;-1;;Ode an die Freude...zum Abschluss...wunderbar! #Elbphilharmonie 
132;8.19E+22;4;-1;;Sehr schön. Ein Hauch von Downton Abbey in #SachsenAnhalt <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> 
133;8.19E+22;4;-1;;DITIB muss die Spione der Generalbundesanwaltschaft nennen I Spionage aus Versehen: Das ist schon erstaunlich! 
134;8.20E+22;4;-1;1;Herzlichen Glückwunsch liebe Bürgermeisterin @Simone_Lange ! Herzlichen Glückwunsch Flensburg! 
135;8.20E+22;4;-1;1;Guter Mann, unser Finanzminister!Super, @NowaboFM !!! 
136;8.20E+22;4;-1;;60 tolle Frauen beim meinem Falkenseer Frauenstammtisch- ein wunderbarer Start ins neue Jahr!  Dank an Antonia... 
137;8.20E+22;4;-1;;Romantisches Rothenburg im lieblichen Taubertal: Rumtreiben im Schneetreiben.#mehrgruen #gruenewk17 
138;8.20E+22;4;-1;1;Wow! @Telekom_hilft hilft tatsächlich! Innerhalb von 24 Stunden Problem gelöst. DANKE <f0><U+009F><U+0092><U+0090><f0><U+009F><U+00A4><U+0097><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0099><U+0082><f0><U+009F><U+0099><U+0083><U+263A><U+FE0F>
139;8.20E+22;4;-1;;Die Linksfraktion in #Offenbach erklärt sich solidarisch mit den streikenden BusfahrerInnen - super! 
140;8.20E+22;4;-1;1;Ein sehr schöner Neujahrsempfang gestern bei der Donnersmarckstiftung im Haus Rheinsberg. 
141;8.20E+22;4;-1;;Ich liebe es in meinem Chemnitzer Wahlkreis unterwegs zu sein!Die Woche war wieder gut gefüllt u.a. mit... 
142;8.20E+22;4;-1;;@Micha_BILD Das ist ja irrsinnig interessant
143;8.20E+22;4;-1;;@ADS_Bund ich nicht, sofern es um Adoption geht. Und Ehe möchte ich das nicht nennen!
144;8.20E+22;4;-1;;Ein wunderschöner Morgen mit der ebenso schönen Elphi! 
145;8.20E+22;4;-1;1;@katrinlangensie @gruenelvnds Euch auch viel Erfolg, liebe Grüße!
146;8.20E+22;4;-1;1;@Szissel @GrueneSpandau schön und sehr nett, dass Du bei uns warst, gerne wieder :-))) und weiterhin viel Freude an der Vorstandsarbeit!
147;8.20E+22;4;-1;1;@ManuelaSchwesig Ich möchte kein gespaltenes Land! Ich möchte ein Land, das zusammenhält 
148;8.20E+22;4;-1;1;@SawsanChebli Wow! Viel Spaß! <f0><U+009F><U+008E><U+00BC>
149;8.21E+22;4;-1;;@CdiFlo Sie folgen mir nicht mal bei Twitter und wollen alle meine Äußerungen kennen?!? Habe sie schon früher kritisiert. Schönen Tag!
150;8.21E+22;4;-1;;Glückwunsch, lieber @MarkusBlume - Du &amp
151;8.21E+22;4;-1;1;Schön war es heute beim bönnschen Hätz - Karneval für die gute Sache - toll, dass ich Schirmherrin sein durfte! 
152;8.21E+22;4;-1;1;Trump hat Hoffnung für Europa, sieht Brexit positiv. Offenbar hat er die Wirrnis der EU klar erkannt 1:0 für Trump, finde ich prima! #Brexit
153;8.21E+22;4;-1;1;@daniel_erk @BMVI Sehr guter Vorschlag! 
154;8.21E+22;4;-1;;Auf dem Weg nach @filderstadt_de. Dort werden heute Projekte ausgezeichnet, die Mut machen: fürs Erinnern &amp
155;8.21E+22;4;-1;;Schönen Dienstag - macht was draus!
156;8.21E+22;4;-1;;Spannendes Programm heute - Entscheidung über NPD-Verbot, Wahl des EU-Parl-Präs, May stellt Brexit-Pläne vor.. Euch allen einen schönen Tag!
157;8.21E+22;4;-1;;@larsklingbeil @Thomas_Bareiss @spdbt @christianegle - schön, wenn die Obergrenze schon als Unionskonsens angesehen wird!
158;8.21E+22;4;-1;;@UmweltHessen Ich liebe diesen #BecherBonus für alle! Das Eingesparte kommt bei mir ins Sparschwein für Spenden
159;8.21E+22;4;-1;;#spdbt NPD mag keine Gefahr für die Demokratie sein, aber eine Bedrohung für viele Demokraten! Die SPD zeigt Gesicht gegen Nazis. #npdverbot
160;8.21E+22;4;-1;;Auf zum Neujahrsempfang von SPD Landesverband+Landtagsfraktion in der Kieler Traumfabrik.Entschlossen, geschlossen, fröhlich ins Wahljahr!
161;8.22E+22;4;-1;1;Sehr gut! 
162;8.22E+22;4;-1;;#Höcke und #AfD zeigen ihr wahres Gesicht. Ich bin stolz auf das Holocaust-Mahnmal im Zentrum Berlins! 
163;8.22E+21;4;-1;1;super, das finde ich richtig gut! @RSL99 
164;8.22E+22;4;-1;1;Vielen Dank @AWO_Deutschland für die sehr gute Zusammenarbeit! Gemeinsam für soziale Gerechtigkeit! 
165;8.22E+21;4;-1;1;Herzlichen Glückwunsch liebe Michaela Noll zum großartigen Wahlergebnis! #Bundestag #CDU 
166;8.22E+22;4;-1;;Schön, dass die @PolizeiOFR jetzt auch auf Twitter ist!
167;8.22E+22;4;-1;;Sehr gut! @talwazir will #greenfinance-cluster in Frankfurt. #Finanzwende @gruenehessen @FMFdigital @DeutscheBoerse
168;8.22E+22;4;-1;;Gedenken ist weder Schwäche noch gar Schande, sondern Notwendigkeit damit Rechts nie wieder triumphiert!#weRemember 
169;8.22E+22;4;-1;;Alles Gute zum Jubiläum, liebe @HSSde! Seit 50 Jahren leistet Ihr einen herausragenden Beitrag zur politischen Bildung #HSS #50JahreHSS @CSU
170;8.22E+22;4;-1;;Der @MiRo_SPD ist ausgezeichnet :-) #Bundestag
171;8.22E+21;4;-1;;.@jensspahn b. Kampagnencamp von #connect17 mit super Impuls: Wahlkampf aus Kandidatenperspektive! Jetzt mitmachen: 
172;8.23E+22;4;-1;;Vom Rhein in #Köln schönes Wochenende Euch! <ed><U+00A0><U+00BD><ed><U+00B6><U+0091> 
173;8.23E+22;4;-1;;Und immer wieder geht die Sonne auf... Wie beruhigend. Genießt das #Wochenende! 
174;8.23E+22;4;-1;;Aaaaaaahhhhh! Danke, liebe Partei<U+2763> Bester Wahlkreis ever! #WK248 
175;8.23E+22;4;-1;;Glückauf und liebe Grüße aus Rodgau! 
176;8.23E+22;4;-1;;Sehr gut besuchte CSU-Ortsvorsitzendenkonferenz heute in Weiding zur Vorbereitung der anstehenden Wahlen! Der... 
177;8.23E+22;4;-1;;#ENF @MLP_officiel Ich liebe Deutschland, weil es deutsch ist! Ich liebe Frankreich weil es französisch istSo soll es auch bleiben.
178;8.23E+22;4;-1;;Phantastisch - die Bilder von den #WomensMarch aus der ganzen Welt! Solidarität ist unsere Stärke
179;8.23E+22;4;-1;;Wow ! <ed><U+00A0><U+00BD><ed><U+00B1><U+008C> Ihr nutzt dieses Neuland echt extrem! 
180;8.23E+22;4;-1;;Euch allen einen schönen Sonntag &amp
181;8.23E+22;4;-1;;Respekt für #MischaZverev !! 
182;8.23E+22;4;-1;1;Guten Morgen und einen schönen Sonntag! 
183;8.23E+22;4;-1;;Auf geht es zum Empfang des SPD Ortsvereins Werl und dann zum Reservistenverband nach Lippstadt! Und schön vorsichtig fahren. Es ist glatt!
184;8.23E+22;4;-1;;Traditioneller Neujahrsbruch des SPD OV Hamm Mitte - liebe Kirsten ich bin immer wieder gern bei euch! 
185;8.23E+22;4;-1;;Sehr schöner Gottesdienst in St. Eberhard mit Männerchören der Stuttgarter Hymnuschorknaben und des Collegium Iuvenum #Stuttgart. #Ökumene!
186;8.23E+22;4;-1;;@Stehlblueten dass Sie volle 5 Minuten am Stück denken, ist doch schon ein schöner Erfolg!
187;8.23E+22;4;-1;;@HPFriedrichCSU Ach wegen dem freien Handel wird mit Strafzöllen gedroht. So kann man sich auch Trump schön reden!
188;8.23E+22;4;-1;;#trump @DLF es wird am Ende des Tages die Vernunft Einkehr halten- nur über die Wettbewerbsfähigkeit können die USA erfolgreich sein!
189;8.23E+22;4;-1;1;Euch einen schönen Start ins Wochenende! #alternativefakten
190;8.23E+22;4;-1;;Schöne Karikatur aus der FNP - da gibt es nur eins #Gegenhalten ! 
191;8.23E+21;4;-1;;Der Berliner Bär aus Blumen hat mir auf der Grünen Woche besonders gut gefallen! 
192;8.24E+22;4;-1;;@DanielaLanger Herzlichen Glückwunsch zur Nominierung! Freu mich auf einen fairen Wahlkampf im wunderschönen #Pankow !
193;8.24E+22;4;-1;;@LSVD bald im #Hörfunkrat des #Deutschlandradios.Vielfallt muss sich auch in Rundfunk- und Fernsehräten zeigen.Mehr Stimme für LGBTI*-super!
194;8.24E+21;4;-1;;@LEZwenn oh wie schön! So einen tollen Rauhreif über 2 Tage gibt es nicht allzu oft...
195;8.24E+22;4;-1;1;Super, herzlichen Glückwunsch! 
196;8.24E+22;4;-1;1;Der ist hervorragend liebe @DB_Presse! #alternativefacts 
197;8.24E+22;4;-1;;@sigmargabriel @RefugeesChief Und auch stolz, dass heute in Ffm wieder eine Sammelabschiebung nach #Afghanistan durchgeführt wurde?!
198;8.24E+22;4;-1;;#ENF @MLP_officiel Ich liebe Deutschland, weil es deutsch ist! Ich liebe Frankreich weil es französisch istSo soll es auch bleiben.
199;8.24E+22;4;-1;;Ein besonders schöner Platz für mich im Plenarsaal des Deutschen Bundestags<ed><U+00A0><U+00BD><ed><U+00B8><U+008A> 
200;8.24E+22;4;-1;;Morgens erstmal ein paar Nazis und Trolle blocken. Und jetzt in Ruhe arbeiten. Allen einen schönen Tag!
201;8.24E+22;4;-1;1; die Niederlande heißen Donald #Trump willkommen, fantastisches Video, ein wirklich fantastisches Video
202;8.24E+22;4;-1;1;Wow! Maren Ade ist mit Toni Erdmann für den Oscar nominiert! Mein Glückwunsch an diese tolle Regisseurin! <ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0088><ed><U+00A0><U+00BD><ed><U+00B3><U+00BD>  /ms
203;8.24E+22;4;-1;;#AKW Fesselheim vor dem Aus. Das wäre eine positive Nachricht, gerade für die #Sicherheit der Anwohner! 
