"Vars","LassoRidge","LassoEnet","LassoSentiWS","LassoSentiStrenth","RidgeEnet","RidgeSentiWS","RidgeSentiStrenth","EnetSentiWS","EnetSentiStrenth","SentiWSSentiStrenth"
"cor",0.688351146345647,0.995259339753435,0.223663058554198,0.389546690238767,0.709090490861079,0.257893231478411,0.302879491823703,0.227505692126317,0.38879435220496,0.18850133840512
"cor.t.statistic",478.235013193792,5157.18432973466,115.646819471865,213.153370731068,506.798893716941,134.517981547602,160.161931950062,117.741170839576,212.668310967798,96.7311121739114
"cor.p.value",478.235013193792,5157.18432973466,115.646819471865,213.153370731068,506.798893716941,134.517981547602,160.161931950062,117.741170839576,212.668310967798,96.7311121739114
"lm.t.value",478.235013194077,5157.18432973304,115.646819471954,213.153370731291,506.798893716924,134.517981547613,160.161931950065,117.741170839605,212.668310967637,96.7311121740309
"r.squared",0.473827300675366,0.990541153366443,0.0500251637618184,0.151746623875978,0.502809324229606,0.0665089188423775,0.0917359865673846,0.0517588399498745,0.151161048306475,0.0355327545805217
"RMSE",0.308079172847927,0.0410266285695021,1.69265453149811,0.867107467974593,0.305287777927965,1.6965398191817,0.881128494017259,1.6914068444341,0.867141065013594,1.85235955201388
"MAE",0.224710235787825,0.0225214384343595,0.735130156032563,0.582059575455111,0.220995138835792,0.700360008334072,0.581548625681981,0.736654917051997,0.583120523106284,0.925607158582011
"Accuracy",0.67143481496356,0.972009276430543,0.407812518456396,0.383743409836324,0.689408883481575,0.622398878638617,0.604802797103675,0.421278304728381,0.398689645125346,0.858313941813629
"Precision",0.569907958916369,0.96617060493454,0.145238814904373,0.0895755916291805,0.898779498559454,0.195960876821661,0.116054861959329,0.146481442076785,0.0905249718819345,0.207265026877342
"Sensitivity",0.898364147647119,0.991479242437143,0.798631253055239,0.839014100144332,0.586265828173845,0.684927489001141,0.690962584656378,0.78520449731139,0.826579327189963,0.353169756855779
"Specificity",0.506125032326559,0.936262631902183,0.354105834512656,0.348986917440446,0.878778404332533,0.613806137255253,0.598225145467722,0.371267219604822,0.366023486733089,0.896877900348783
"F1",0.566884200225197,0.784514806411018,0.179990011163993,0.113557558294608,0.682817120898192,0.158423976542065,0.095431596621904,0.177501105053779,0.112063158766176,0.0511647170941786
"BalancedAccuracy",0.702244589986839,0.963870937169663,0.576368543783947,0.594000508792389,0.732522116253189,0.649366813128197,0.64459386506205,0.578235858458106,0.596301406961526,0.625023828602281
"avg.sentiment.pos.response",0.166291747358194,0.372958325192411,0.0182605272206743,0.0144978640705174,0.205825954147832,0.0486652024497321,0.0403966926934356,0.0214049607317913,0.017211308791775,-0.162724712157826
"avg.sentiment.neg.response",-0.24844333836059,-0.216265661128482,-0.203225659625866,-0.309731831971377,-0.0674492455096151,-0.114842656245019,-0.121545537886865,-0.208116052830077,-0.314628435983202,-1.24771279283854
